Period,month,year,days_in_month,Base_gas,Cons_Elec,injections,cons_plantfuel,pr_exp,imp_pipe,pr_lng_import,Prod_tot,Cons_Comm,Cons_Vehfuel,Prod_marketed,withdrawals,Cons_Resi,exp_LNG,tot_storage_cap,Prod_dry,Tot_working,pr_imp,Prod_delivered,pr_ind,Tot_storage ,Cons_pipefuel,pr_citygate,ext_loss,pr_pipeexp,imp_LNG,imp_tot,exp_tot,pr_resi,Net_withdrawals,Cons_tot,pr_comml,Cons_ind,pr_elec_power,pr_LNG_exp,exp_pipe,Price_HH,Price_k1,Price_k2,Price_k3,wcdd,wcdd_dev,gwhdd,gwhdd_dev
2000-01,1,2000,31,4378.84,0.0,59.13,3.14,2.95,10.1,2.85,66.3,14.58,0.03,55.12,841.2,27.84,0.18,8179.04,52.35,1760.47,2.44,0.0,0.0,6139.3,0.0,3.27,2.77,0.0,0.41,10.51,0.57,6.37,782.06,0.0,5.77,0.0,0.0,0.0,0.0,2.42,2.38,2.39,2.4,,,,
2000-02,2,2000,29,4377.69,0.0,82.92,3.09,3.05,10.0,3.33,65.81,14.51,0.03,54.27,533.28,26.73,0.19,8229.26,51.54,1303.56,2.6,0.0,0.0,5681.26,0.0,3.48,2.73,0.0,0.35,10.35,0.72,6.54,450.36,0.0,5.95,0.0,0.0,0.0,0.0,2.66,2.61,2.6,2.59,,,,
2000-03,3,2000,31,4363.57,0.0,139.27,3.17,3.0,9.41,2.77,66.95,11.22,0.03,55.56,291.38,17.75,0.12,8229.26,52.76,1153.22,2.61,0.0,0.0,5516.79,0.0,3.54,2.79,0.0,0.48,9.89,0.66,6.91,152.11,0.0,5.78,0.0,0.0,0.0,0.0,2.79,2.83,2.85,2.87,,,,
2000-04,4,2000,30,4362.07,0.0,191.79,3.09,3.37,9.15,2.9,65.27,8.51,0.03,54.28,146.09,13.36,0.19,8229.26,51.55,1202.52,2.86,0.0,0.0,5564.59,0.0,3.72,2.73,0.0,0.65,9.8,0.57,7.19,-45.7,0.0,6.03,0.0,0.0,0.0,0.0,3.04,3.03,3.04,3.06,,,,
2000-05,5,2000,31,4362.26,0.0,312.86,3.11,3.52,8.86,3.06,64.56,5.83,0.03,54.57,81.67,7.37,0.19,8229.26,51.83,1433.1,3.05,0.0,0.0,5795.36,0.0,4.15,2.74,0.0,0.43,9.28,0.64,8.26,-231.2,0.0,5.97,0.0,0.0,0.0,0.0,3.59,3.6,3.6,3.61,,,,
2000-06,6,2000,30,4361.32,0.0,348.99,3.14,4.27,9.28,3.49,65.47,4.9,0.03,55.05,64.54,5.14,0.13,8229.26,52.28,1717.31,3.87,0.0,0.0,6078.63,0.0,5.19,2.77,0.0,0.58,9.87,0.54,9.5,-284.46,0.0,6.49,0.0,0.0,0.0,0.0,4.29,4.3,4.28,4.26,,,,
2000-07,7,2000,31,4361.82,0.0,372.13,3.14,4.45,9.46,3.51,65.1,4.42,0.03,55.03,82.85,4.14,0.18,8229.26,52.26,2002.7,3.94,0.0,0.0,6364.52,0.0,5.2,2.77,0.0,0.93,10.4,0.63,10.32,-289.28,0.0,6.55,0.0,0.0,0.0,0.0,3.99,3.97,3.97,3.98,,,,
2000-08,8,2000,31,4361.21,0.0,304.6,3.16,4.13,9.53,3.29,65.74,4.85,0.03,55.44,108.58,3.95,0.18,8229.26,52.66,2199.0,3.62,0.0,0.0,6560.2,0.0,4.63,2.79,0.0,0.74,10.27,0.67,10.37,-196.01,0.0,6.08,0.0,0.0,0.0,0.0,4.43,4.46,4.47,4.53,,,,
2000-09,9,2000,30,4360.39,0.0,370.42,3.16,4.81,9.44,3.7,66.23,4.95,0.03,55.44,79.75,4.69,0.19,8229.26,52.65,2494.29,4.15,0.0,0.0,6854.68,0.0,5.21,2.79,0.0,0.72,10.16,0.69,10.1,-290.68,0.0,6.92,0.0,0.0,0.0,0.0,5.06,5.13,5.25,5.34,,,,
2000-10,10,2000,31,4359.58,0.0,328.89,3.22,5.04,9.59,3.96,67.67,5.84,0.03,56.45,87.54,7.61,0.24,8229.26,53.61,2732.27,5.16,0.0,0.0,7091.84,0.0,5.66,2.84,0.0,0.88,10.47,0.74,9.44,-241.35,0.0,7.48,0.0,0.0,0.0,0.0,5.02,5.08,5.18,5.15,,,,
2000-11,11,2000,30,4360.86,0.0,107.54,3.16,4.39,10.35,3.61,66.66,9.67,0.03,55.49,395.84,16.09,0.19,8246.26,52.7,2442.19,4.86,0.0,0.0,6803.05,0.0,5.2,2.79,0.0,0.64,10.99,0.83,8.58,288.3,0.0,7.57,0.0,0.0,0.0,0.0,5.52,5.74,5.75,5.46,,,,
2000-12,12,2000,31,4352.09,0.0,65.74,3.16,5.65,11.4,4.77,66.79,15.23,0.03,55.43,785.49,29.49,0.18,8246.26,52.65,1718.93,7.35,0.0,0.0,6071.02,0.0,6.64,2.79,0.0,0.58,11.98,0.73,8.56,719.75,0.0,8.2,0.0,0.0,0.0,0.0,8.9,8.62,8.27,7.34,,,,
2001-01,1,2001,31,4343.95,10.98,92.05,3.08,7.48,11.45,6.72,67.64,16.14,0.04,56.56,587.63,31.51,0.18,8247.98,53.93,1265.5,9.47,80.81,8.84,5609.45,2.46,8.91,2.62,8.26,0.59,12.03,0.82,10.12,495.58,86.35,9.5,22.15,0.0,4.69,0.64,8.17,7.82,7.37,6.03,,,,
2001-02,2,2001,28,4328.46,11.17,74.1,3.1,5.8,10.94,5.86,68.22,15.09,0.04,56.52,413.53,27.87,0.13,8247.98,53.9,912.37,6.45,77.03,7.21,5240.82,2.35,7.08,2.62,5.97,0.79,11.72,0.96,10.26,339.43,82.48,9.8,22.86,0.0,4.74,0.83,5.61,5.68,5.56,5.44,,,,
2001-03,3,2001,31,4300.42,11.7,115.76,3.11,4.93,10.8,5.42,68.27,12.12,0.04,56.99,298.45,22.0,0.18,8247.98,54.35,741.55,5.42,67.31,6.3,5041.97,2.05,6.1,2.64,4.97,0.75,11.55,1.04,9.85,182.68,72.47,9.14,21.45,0.0,4.71,0.86,5.23,5.19,5.24,5.29,,,,
2001-04,4,2001,30,4260.59,12.82,348.95,3.09,5.65,9.89,4.72,67.6,8.51,0.04,56.78,69.9,13.36,0.19,8247.98,54.14,992.26,5.35,55.46,6.08,5252.85,1.69,6.3,2.63,6.09,0.73,10.62,0.79,10.16,-279.05,60.24,9.01,20.74,0.0,4.26,0.6,5.19,5.19,5.24,5.29,,,,
2001-05,5,2001,31,4309.37,14.0,519.75,3.06,5.5,9.51,4.29,66.8,5.3,0.04,56.88,40.66,6.75,0.18,8247.98,54.24,1440.1,4.95,44.68,5.46,5749.46,1.36,5.77,2.64,5.81,0.88,10.38,0.93,11.14,-479.09,49.11,9.19,18.6,0.0,4.23,0.75,4.19,4.24,4.32,4.38,,,,
2001-06,6,2001,30,4310.08,16.43,490.24,3.04,4.64,9.69,4.19,66.44,4.51,0.04,56.19,49.38,4.89,0.13,8274.03,53.58,1882.43,3.94,43.77,4.75,6192.51,1.33,5.38,2.61,4.71,0.89,10.58,0.82,11.58,-440.85,48.15,8.5,17.89,0.0,4.29,0.69,3.72,3.78,3.87,3.92,,,,
2001-07,7,2001,31,4315.31,20.47,450.91,3.02,3.62,10.95,3.87,65.87,4.21,0.04,56.04,66.01,3.99,0.18,8271.91,53.44,2260.76,3.17,47.09,4.1,6576.08,1.44,4.03,2.6,3.48,0.81,11.76,1.01,11.22,-384.9,51.55,7.9,18.39,0.0,4.28,0.82,3.11,3.17,3.22,3.31,,,,
2001-08,8,2001,31,4313.05,22.15,386.3,3.04,3.48,10.78,3.51,66.35,4.31,0.04,56.04,79.13,3.77,0.18,8273.01,53.44,2575.8,3.14,49.31,3.99,6888.85,1.5,4.32,2.6,3.28,0.62,11.4,0.93,10.89,-307.17,53.84,7.61,19.03,0.0,4.3,0.75,2.97,2.94,2.98,3.22,,,,
2001-09,9,2001,30,4317.67,17.01,413.22,3.06,2.79,9.77,3.35,66.97,4.78,0.04,56.29,41.29,4.25,0.19,8273.01,53.68,2944.27,2.63,45.36,3.5,7261.93,1.38,3.66,2.61,2.45,0.73,10.5,1.12,10.17,-371.93,49.8,6.96,19.29,0.0,4.4,0.93,2.19,2.21,2.56,2.89,,,,
2001-10,10,2001,31,4309.81,15.03,282.34,3.09,2.74,10.14,2.24,67.65,5.98,0.04,56.69,92.82,7.66,0.25,8273.01,54.06,3143.97,2.14,48.63,3.18,7453.78,1.48,3.37,2.63,2.26,0.38,10.52,1.11,8.24,-189.52,53.2,6.39,19.91,0.0,4.41,0.87,2.46,2.62,2.9,3.06,,,,
2001-11,11,2001,30,4300.65,11.68,210.45,3.05,3.21,9.44,2.89,66.87,7.69,0.04,55.71,137.84,12.02,0.19,8273.01,53.13,3254.1,2.95,52.07,3.88,7554.75,1.59,4.02,2.58,3.04,0.26,9.7,1.39,7.98,-72.61,56.7,6.79,20.63,0.0,4.3,1.2,2.34,2.79,2.98,3.02,,,,
2001-12,12,2001,31,4300.74,11.84,80.18,3.04,2.76,9.56,2.95,66.91,11.16,0.04,55.61,432.05,19.65,0.18,8273.01,53.03,2903.51,2.68,63.42,3.69,7204.25,1.93,3.9,2.58,2.52,0.43,9.99,1.34,7.3,351.86,68.39,6.35,20.73,0.0,4.3,1.16,2.3,2.69,2.75,2.75,,,,
