Date,Rig count,Production per rig Crude Oil,Legacy production change Crude Oil,Total production Crude Oil,Production per rig Natural Gas,Legacy production change Natural Gas,Total production Natural Gas,Region,Month,Year
2007-01-01,44.7,109.6,-2398,132027.7,81.6,-1781.6,187705.1,Anadarko Region,1,2007
2007-02-01,42.2,110.4,-2600.5,131832.8,81.2,-1926.6,187973.8,Anadarko Region,2,2007
2007-03-01,44,111.1,-2789.2,133265.1,80.7,-2059.3,186191.8,Anadarko Region,3,2007
2007-04-01,47,111.8,-3005.2,132700.6,80.1,-2208,189019.9,Anadarko Region,4,2007
2007-05-01,46,112.4,-3222.4,137214.5,79.5,-2353.2,196956.5,Anadarko Region,5,2007
2007-06-01,46,113,-3455.9,136040.8,79,-2504.5,198001,Anadarko Region,6,2007
2007-07-01,53,113.6,-3691.5,138020.2,78.7,-2652.1,199970.1,Anadarko Region,7,2007
2007-08-01,55,114.2,-3945.7,139591,78.6,-2806,200373.4,Anadarko Region,8,2007
2007-09-01,50,114.9,-4211.3,140409.5,78.6,-2961.4,195845.7,Anadarko Region,9,2007
2007-10-01,52,115.8,-4479.2,145064.6,78.7,-3113.4,200193.9,Anadarko Region,10,2007
2007-11-01,54,116.6,-4766.8,143035.8,78.6,-3271.6,195316.1,Anadarko Region,11,2007
2007-12-01,58,120.2,-5055.1,147223.8,77.5,-3425.7,195194.7,Anadarko Region,12,2007
2008-01-01,55,126.6,-5361.1,147544.2,79.1,-3585.3,194355,Anadarko Region,1,2008
2008-02-01,60,134.3,-5672.2,147266.7,81.8,-3744.5,190729.3,Anadarko Region,2,2008
2008-03-01,63,142.7,-5963.9,152653.5,85,-3892.1,196288.2,Anadarko Region,3,2008
2008-04-01,64,152.8,-6277.8,159504.1,89.8,-4046.7,206333.8,Anadarko Region,4,2008
2008-05-01,70,164.3,-6633.3,167025.4,95.2,-4191.9,215678,Anadarko Region,5,2008
2008-06-01,77,176.5,-6942.5,177005.2,100.6,-4336.4,220810.5,Anadarko Region,6,2008
2008-07-01,75,186.3,-7279.7,181636,104.4,-4471.6,217945.9,Anadarko Region,7,2008
2008-08-01,76,191.6,-7430.8,187748.7,106.6,-4607.2,223972.2,Anadarko Region,8,2008
2008-09-01,77,192.2,-7662.1,201861.1,107.4,-4743.1,229584,Anadarko Region,9,2008
2008-10-01,80,190.2,-7889.6,217098.8,108.1,-4874.1,239225.4,Anadarko Region,10,2008
2008-11-01,90,188.2,-8158.3,228657.6,109.9,-5010,244737.1,Anadarko Region,11,2008
2008-12-01,87,189.8,-8457.4,213964.9,114.5,-5146.9,208446.5,Anadarko Region,12,2008
2009-01-01,73,198.8,-8769.4,198424.9,122.6,-5305.2,214848.7,Anadarko Region,1,2009
2009-02-01,65,213.9,-9056.2,203997.4,133.4,-5478.4,220348.8,Anadarko Region,2,2009
2009-03-01,51,230.8,-9256.2,208156.3,143.5,-5645.9,224168.9,Anadarko Region,3,2009
2009-04-01,42,250.2,-9565.4,210193.5,154.4,-5841.1,235566.5,Anadarko Region,4,2009
2009-05-01,35,269.1,-9536.7,217983.2,164,-6035.4,238453.5,Anadarko Region,5,2009
2009-06-01,35,286.9,-9624.9,226026.9,173.2,-6241.3,239567.1,Anadarko Region,6,2009
2009-07-01,40,301.9,-9683.2,237875.4,181.3,-6455.6,248995.8,Anadarko Region,7,2009
2009-08-01,44,311,-9619.8,241506.6,189.2,-6698.4,253426,Anadarko Region,8,2009
2009-09-01,47,313,-9949.9,247723,195.2,-6966.8,252195.9,Anadarko Region,9,2009
2009-10-01,51,308.3,-9871.7,250674.2,198.9,-7243.7,248988.8,Anadarko Region,10,2009
2009-11-01,60,296.9,-10199,254293.3,199.9,-7551.9,258146.9,Anadarko Region,11,2009
