marketYear,Area Harvested,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,FSI Consumption,Feed Dom. Consumption,Imports,Production,TY Exports,TY Imp. from U.S.,TY Imports,Total Distribution,Total Supply,Yield
2000,72.4413018,1717.547104,7798.879536,1899.11232,1941.354184,1980.01356,5818.865976000001,6.810664000000001,9914.988272,1902.6160720000003,0.0,7.0468720000000005,11639.34604,11639.34604,136.86913983933954
2001,68.7693215,1899.11232,7910.645288000001,1596.4117680000002,1904.741944,2065.4814880000004,5845.163800000001,10.156944000000001,9502.529736000002,1860.9647280000002,0.0,9.999471999999999,11411.799,11411.799,138.18031784059406
2002,69.33024985000002,1596.4117680000002,7903.047264000001,1086.6749040000002,1587.868912,2358.5368800000006,5544.510384,14.448056000000001,8966.731256000001,1611.0960320000002,0.0,14.723632000000002,10577.59108,10577.59108,129.3334509621416
2003,70.9438455,1086.6749040000002,8330.071960000001,958.099016,1899.820944,2552.463648,5777.608312,14.093744000000001,10087.223272,1921.512712,0.0,14.015008000000002,11187.99192,11187.99192,142.18554444466926
2004,73.6323479,958.099016,8842.44648,2113.9434960000003,1818.053608,2710.841112,6131.605368,10.8262,11805.518368000001,1785.220696,0.0,11.062408000000001,12774.443584,12774.443584,160.33014499908947
2005,75.11744895,2113.9434960000003,9133.966520000002,1967.1402240000002,2133.7849680000004,3022.7144080000003,6111.252112000001,8.818432000000001,11112.129784,2207.914912,0.0,8.267280000000001,13234.891712,13234.891712,147.9305114829728
2006,70.6374353,1967.1402240000002,9081.174031999999,1303.631952,2125.360216,3545.8757600000004,5535.298272,11.967872000000002,10531.058104,2134.296752,0.0,12.558392,12510.166200000001,12510.166200000001,149.0855589324376
2007,86.5213447,1303.631952,10299.928576000002,1624.1268400000001,2437.390984,4446.930544000001,5852.998032,20.038312,13037.776136,2388.180984,0.0,19.723368,14361.4464,14361.4464,150.68828684162602
2008,78.56950580000002,1624.1268400000001,10158.558088000002,1673.297472,1848.91812,5030.482408,5128.075680000001,13.542592,12043.104248000001,1880.136944,0.0,13.267016000000002,13680.773680000002,13680.773680000002,153.28037263511462
2009,79.49120745,1673.297472,11061.896216,1707.78384,1979.02936,5966.338504,5095.557712000001,8.346015999999999,13067.065928000002,1956.432128,0.0,9.330216,14748.709416000002,14748.709416000002,164.38316667003906
2010,81.445808,1707.78384,11202.125032000002,1127.6569920000002,1830.926944,6432.022576,4770.1024560000005,27.675704000000003,12425.249424000001,1777.9376160000002,0.0,26.927712000000003,14160.708968,14160.708968,152.5586671253111
2011,83.87979225,1127.6569920000002,10942.768648,989.0028960000001,1539.131328,6430.723432,4512.045216,29.368528,12313.877352,1509.4478560000002,0.0,30.11652,13470.902872,13470.902872,146.80414107363268
2012,87.36644380000001,989.0028960000001,10352.721064000001,821.1771120000001,730.07956,6044.129672,4308.591392,159.95218400000002,10755.022656000001,718.9384160000001,0.0,167.90452000000002,11903.977736,11903.977736,123.10256741061491
2013,87.46034370000001,821.1771120000001,11534.902736000002,1231.903456,1920.7647200000001,6530.75752,5004.145216,35.785512000000004,13830.608288000001,1995.6032880000002,0.0,28.620536,14687.570912000001,14687.570912000001,158.13635142955422
2014,83.1458904,1231.903456,11882.719016000001,1731.168432,1866.869928,6595.32104,5287.397976000001,31.651872000000004,14217.202048000001,1843.6428080000003,0.0,31.848712000000003,15480.757376,15480.757376,170.9916312498735
2015,80.753914,1731.168432,11764.929960000001,1737.0342640000001,1898.6399040000001,6647.129328000001,5117.800632,67.555488,13601.880208,2009.972608,0.0,70.153776,15400.604128,15400.604128,168.43618834098865
2016,86.74868130000002,1737.0342640000001,12353.087880000001,2293.3041040000003,2295.6661839999997,6885.187624000001,5467.900256,57.083600000000004,15147.940304000002,2189.5694240000003,0.0,57.122968,16942.058168000003,16942.058168000003,174.6192768256409
2017,82.73322505000002,2293.3041040000003,12361.197688,2140.3200560000005,2437.115408,7056.753368000001,5304.4443200000005,36.02172,14609.307328,2506.048776,0.0,32.990384,16938.633152000002,16938.633152000002,176.583654074179
2018,81.27530555000001,2140.3200560000005,12219.472888,2220.74888,2068.3159840000003,6792.554720000001,5426.918168,27.951280000000004,14340.266416,1940.724296,0.0,31.494400000000002,16508.537752,16508.537752,176.44026887355577
2019,81.3370818,2220.74888,12184.553472000001,1919.465576,1778.4494000000002,6286.046032,5898.50744,41.88755200000001,13619.832016,1851.67388,0.0,37.75391200000001,15882.468448000001,15882.468448000001,167.4500167944801
2020,82.31314655000001,1919.465576,12073.653816000002,1234.5017440000001,2746.9022,6466.548312,5607.105504000001,24.250688,14111.341496000001,2688.558824,0.0,24.762472000000002,16055.057760000002,16055.057760000002,171.43453220290968
2021,85.31794335000001,1234.5017440000001,12483.159752,1376.8958,2472.389136,6757.71404,5725.445712000001,24.21132,15073.731624000002,2479.317904,0.0,23.896376,16332.444688000001,16332.444688000001,176.67765103903199
2022,79.2070367,1376.8958,12029.915968000001,1451.616264,1664.990824,6604.9662,5424.949768,39.997887999999996,13729.629368,1673.14,0.0,39.368,15146.523056000002,15146.523056000002,173.33836903340685
