period,Lower_48,Midwest,Mountain,Pacific,South_Central,Salt,Nonsalt,East,Period,Week,Year
2010-01-01,769,3117,900,195,826,268,159,985,2010-01-01,53,2009
2010-01-08,703,2850,820,185,763,257,123,886,2010-01-08,1,2010
2010-01-15,642,2607,750,176,702,246,91,793,2010-01-15,2,2010
2010-01-22,616,2521,710,171,687,235,102,789,2010-01-22,3,2010
2010-01-29,582,2406,661,164,671,221,108,779,2010-01-29,4,2010
2010-02-05,523,2214,604,157,624,211,95,719,2010-02-05,5,2010
2010-02-12,471,2026,552,148,573,197,85,658,2010-02-12,6,2010
2010-02-19,425,1853,502,141,521,193,71,592,2010-02-19,7,2010
2010-02-26,390,1738,464,133,496,184,70,566,2010-02-26,8,2010
2010-03-05,349,1627,433,129,472,182,63,535,2010-03-05,9,2010
2010-03-12,341,1614,422,127,477,176,71,548,2010-03-12,10,2010
2010-03-19,334,1626,419,126,487,179,80,567,2010-03-19,11,2010
2010-03-26,336,1638,410,126,492,185,89,581,2010-03-26,12,2010
2010-04-02,333,1670,410,126,511,189,101,612,2010-04-02,13,2010
2010-04-09,358,1754,429,126,537,193,112,649,2010-04-09,14,2010
2010-04-16,376,1828,444,129,559,199,120,679,2010-04-16,15,2010
2010-04-23,397,1912,462,134,584,209,126,710,2010-04-23,16,2010
2010-04-30,416,1994,480,138,608,220,133,741,2010-04-30,17,2010
2010-05-07,444,2091,506,142,632,230,138,770,2010-05-07,18,2010
2010-05-14,463,2165,520,147,650,241,144,794,2010-05-14,19,2010
2010-05-21,491,2268,546,154,675,253,149,824,2010-05-21,20,2010
2010-05-28,518,2357,567,161,695,265,151,846,2010-05-28,21,2010
2010-06-04,545,2456,593,165,716,279,158,874,2010-06-04,22,2010
2010-06-11,571,2542,619,168,735,288,160,895,2010-06-11,23,2010
2010-06-18,596,2625,645,173,751,299,161,912,2010-06-18,24,2010
2010-06-25,615,2684,666,178,762,305,158,920,2010-06-25,25,2010
2010-07-02,638,2761,691,182,778,311,160,938,2010-07-02,26,2010
2010-07-09,659,2841,715,188,794,318,168,962,2010-07-09,27,2010
2010-07-16,681,2893,735,192,805,317,163,968,2010-07-16,28,2010
2010-07-23,698,2919,751,195,805,314,157,962,2010-07-23,29,2010
2010-07-30,716,2947,766,197,807,313,148,955,2010-07-30,30,2010
2010-08-06,737,2984,788,199,802,314,144,946,2010-08-06,31,2010
2010-08-13,758,3013,808,202,794,314,136,930,2010-08-13,32,2010
2010-08-20,781,3054,833,205,794,309,131,925,2010-08-20,33,2010
2010-08-27,805,3105,861,209,797,301,133,930,2010-08-27,34,2010
2010-09-03,814,3163,886,212,812,303,136,948,2010-09-03,35,2010
2010-09-10,835,3267,919,221,834,307,150,984,2010-09-10,36,2010
2010-09-17,856,3341,951,223,855,307,150,1005,2010-09-17,37,2010
2010-09-24,876,3415,979,227,871,309,153,1024,2010-09-24,38,2010
2010-10-01,896,3499,1011,230,893,307,162,1055,2010-10-01,39,2010
2010-10-08,912,3590,1039,232,927,313,168,1095,2010-10-08,40,2010
2010-10-15,930,3683,1071,233,950,317,182,1132,2010-10-15,41,2010
2010-10-22,940,3754,1096,236,973,321,189,1162,2010-10-22,42,2010
2010-10-29,955,3821,1120,235,995,323,193,1188,2010-10-29,43,2010
2010-11-05,950,3840,1124,236,1004,327,199,1203,2010-11-05,44,2010
2010-11-12,940,3834,1126,236,999,326,207,1206,2010-11-12,45,2010
2010-11-19,940,3828,1115,234,999,329,211,1210,2010-11-19,46,2010
2010-11-26,940,3805,1100,227,1006,313,218,1224,2010-11-26,47,2010
2010-12-03,918,3717,1071,222,993,298,215,1208,2010-12-03,48,2010
2010-12-10,862,3553,1017,216,960,293,205,1165,2010-12-10,49,2010
2010-12-17,807,3369,956,209,922,289,186,1108,2010-12-17,50,2010
2010-12-24,756,3232,904,201,905,284,182,1087,2010-12-24,51,2010
2010-12-31,715,3097,866,192,875,275,175,1050,2010-12-31,52,2010
2011-01-07,684,2960,817,181,847,248,183,1030,2011-01-07,1,2011
2011-01-14,622,2716,753,172,781,229,158,939,2011-01-14,2,2011
2011-01-21,577,2543,696,164,732,221,153,885,2011-01-21,3,2011
2011-01-28,519,2355,639,156,688,211,142,830,2011-01-28,4,2011
2011-02-04,470,2144,578,145,640,187,123,763,2011-02-04,5,2011
2011-02-11,421,1910,510,137,582,171,90,672,2011-02-11,6,2011
2011-02-18,392,1831,482,132,572,162,90,662,2011-02-18,7,2011
2011-02-25,359,1745,445,124,571,147,100,671,2011-02-25,8,2011
2011-03-04,330,1672,412,118,570,136,106,676,2011-03-04,9,2011
2011-03-11,308,1616,384,113,563,137,111,674,2011-03-11,10,2011
2011-03-18,296,1611,373,112,567,141,121,688,2011-03-18,11,2011
2011-03-25,293,1622,369,110,582,137,131,713,2011-03-25,12,2011
2011-04-01,265,1578,346,110,578,142,138,716,2011-04-01,13,2011
2011-04-08,269,1606,349,107,593,145,143,736,2011-04-08,14,2011
2011-04-15,284,1654,362,106,610,148,143,753,2011-04-15,15,2011
2011-04-22,298,1685,362,105,622,153,144,766,2011-04-22,16,2011
2011-04-29,321,1757,380,105,640,161,149,789,2011-04-29,17,2011
2011-05-06,344,1827,398,106,657,168,155,812,2011-05-06,18,2011
2011-05-13,375,1919,423,108,676,177,161,837,2011-05-13,19,2011
2011-05-20,405,2023,447,111,699,186,175,874,2011-05-20,20,2011
2011-05-27,434,2107,469,115,715,197,177,892,2011-05-27,21,2011
2011-06-03,458,2188,494,120,731,206,179,910,2011-06-03,22,2011
2011-06-10,483,2257,517,125,736,217,180,916,2011-06-10,23,2011
2011-06-17,515,2354,548,131,747,229,184,931,2011-06-17,24,2011
2011-06-24,542,2432,576,136,759,237,182,941,2011-06-24,25,2011
2011-07-01,574,2526,605,142,773,248,184,957,2011-07-01,26,2011
