Period,wcdd,wcdd_dev,hdd,hdd_dev,month,year
2008-01-01,6,-1,955,49,1,2008
2008-02-01,9,3,845,-102,2,2008
2008-03-01,14,-10,665,120,3,2008
2008-04-01,30,1,372,-45,4,2008
2008-05-01,99,-14,200,85,5,2008
2008-06-01,265,29,27,0,6,2008
2008-07-01,339,20,5,-2,7,2008
2008-08-01,281,-87,14,4,8,2008
2008-09-01,170,-29,65,6,9,2008
2008-10-01,50,-38,310,99,10,2008
2008-11-01,11,-6,578,12,11,2008
2008-12-01,8,-4,908,37,12,2008
2009-01-01,4,-2,1034,79,1,2009
2009-02-01,6,-2,759,-57,2,2009
2009-03-01,18,3,631,-33,3,2009
2009-04-01,41,11,385,12,4,2009
2009-05-01,109,10,139,-61,5,2009
2009-06-01,222,-44,48,21,6,2009
2009-07-01,294,-45,17,12,7,2009
2009-08-01,307,25,19,5,8,2009
2009-09-01,166,-4,69,4,9,2009
2009-10-01,47,-3,369,60,10,2009
2009-11-01,14,3,477,-100,11,2009
2009-12-01,7,-1,937,29,12,2009
2010-01-01,3,-1,998,-35,1,2010
2010-02-01,1,-5,865,106,2,2010
2010-03-01,5,-12,581,-51,3,2010
2010-04-01,33,-8,299,-86,4,2010
2010-05-01,131,23,161,21,5,2010
2010-06-01,279,58,24,-24,6,2010
2010-07-01,385,91,5,-13,7,2010
2010-08-01,356,50,7,-12,8,2010
2010-09-01,196,30,64,-4,9,2010
2010-10-01,51,5,262,-107,10,2010
2010-11-01,16,2,569,92,11,2010
2010-12-01,2,-5,955,18,12,2010
2011-01-01,3,0,1029,31,1,2011
2011-02-01,10,9,813,-52,2,2011
2011-03-01,20,15,647,66,3,2011
2011-04-01,56,23,355,56,4,2011
2011-05-01,120,-11,186,26,5,2011
2011-06-01,256,-24,38,13,6,2011
2011-07-01,411,26,3,-2,7,2011
2011-08-01,347,-9,7,0,8,2011
2011-09-01,184,-12,81,17,9,2011
2011-10-01,46,-5,281,19,10,2011
2011-11-01,16,0,512,-57,11,2011
2011-12-01,8,6,775,-180,12,2011
2012-01-01,6,3,813,-216,1,2012
2012-02-01,11,1,714,-132,2,2012
2012-03-01,36,16,410,-237,3,2012
2012-04-01,47,-10,333,-22,4,2012
2012-05-01,146,26,98,-88,5,2012
2012-06-01,242,-14,32,-5,6,2012
2012-07-01,408,-3,1,-1,7,2012
2012-08-01,330,-17,10,3,8,2012
2012-09-01,183,-1,83,2,9,2012
2012-10-01,56,10,301,20,10,2012
2012-11-01,13,-3,580,69,11,2012
2012-12-01,11,3,758,-17,12,2012
2013-01-01,10,4,904,91,1,2013
2013-02-01,7,-3,809,115,2,2013
2013-03-01,10,-26,717,307,3,2013
2013-04-01,36,-11,399,66,4,2013
2013-05-01,110,-36,154,55,5,2013
2013-06-01,247,5,30,-2,6,2013
2013-07-01,351,-57,10,9,7,2013
2013-08-01,297,-33,11,2,8,2013
2013-09-01,193,9,74,-8,9,2013
2013-10-01,59,4,286,-15,10,2013
2013-11-01,17,3,619,38,11,2013
2013-12-01,11,0,912,154,12,2013
2014-01-01,3,-7,1045,141,1,2014
2014-02-01,9,2,896,88,2,2014
2014-03-01,11,1,745,29,3,2014
2014-04-01,34,-1,368,-31,4,2014
2014-05-01,119,9,144,-10,5,2014
2014-06-01,238,-9,22,-8,6,2014
2014-07-01,308,-43,16,5,7,2014
2014-08-01,292,-5,9,-2,8,2014
2014-09-01,189,-4,77,2,9,2014
2014-10-01,67,7,249,-36,10,2014
2014-11-01,9,-7,662,43,11,2014
2014-12-01,8,-3,770,-142,12,2014
2015-01-01,5,2,965,-81,1,2015
2015-02-01,4,-5,954,58,2,2015
2015-03-01,22,11,643,-102,3,2015
2015-04-01,46,12,334,-34,4,2015
2015-05-01,126,6,134,-10,5,2015
2015-06-01,256,18,29,7,6,2015
2015-07-01,342,34,8,-8,7,2015
2015-08-01,312,20,14,4,8,2015
2015-09-01,225,36,40,-37,9,2015
2015-10-01,66,-1,249,-1,10,2015
2015-11-01,26,17,486,-176,11,2015
2015-12-01,20,12,640,-130,12,2015
2016-01-01,4,-1,937,-28,1,2016
2016-02-01,7,3,711,-279,2,2016
2016-03-01,24,2,495,-148,3,2016
2016-04-01,38,-9,354,19,4,2016
2016-05-01,106,-20,173,39,5,2016
2016-06-01,269,13,19,-10,6,2016
2016-07-01,387,45,5,-2,7,2016
2016-08-01,374,62,3,-10,8,2016
2016-09-01,241,16,30,-10,9,2016
2016-10-01,88,22,185,-64,10,2016
2016-11-01,23,-3,452,-34,11,2016
2016-12-01,14,-7,863,223,12,2016
2017-01-01,10,7,839,-98,1,2017
2017-02-01,15,8,600,-96,2,2017
2017-03-01,25,0,604,109,3,2017
2017-04-01,51,14,278,-76,4,2017
2017-05-01,107,1,177,4,5,2017
2017-06-01,246,-23,30,11,6,2017
2017-07-01,364,-23,3,-2,7,2017
2017-08-01,284,-90,17,13,8,2017
2017-09-01,194,-47,64,34,9,2017
2017-10-01,82,-6,224,39,10,2017
2017-11-01,23,1,535,83,11,2017
2017-12-01,9,-5,875,12,12,2017
2018-01-01,4,-6,958,119,1,2018
2018-02-01,17,2,702,102,2,2018
2018-03-01,15,-9,662,58,3,2018
2018-04-01,22,-29,479,201,4,2018
2018-05-01,141,34,108,-68,5,2018
2018-06-01,265,19,21,-9,6,2018
2018-07-01,376,12,4,1,7,2018
2018-08-01,353,69,6,-11,8,2018
2018-09-01,236,42,52,-12,9,2018
2018-10-01,84,2,301,77,10,2018
2018-11-01,16,-7,653,119,11,2018
2018-12-01,8,-1,787,-88,12,2018
2019-01-01,5,1,945,-14,1,2019
2019-02-01,14,-3,807,105,2,2019
2019-03-01,15,0,706,44,3,2019
2019-04-01,38,16,327,-153,4,2019
2019-05-01,122,-19,178,70,5,2019
2019-06-01,220,-45,33,12,6,2019
2019-07-01,378,2,3,-1,7,2019
2019-08-01,331,-23,9,4,8,2019
2019-09-01,237,1,38,-14,9,2019
2019-10-01,79,-5,295,-6,10,2019
2019-11-01,14,-2,644,-9,11,2019
2019-12-01,10,2,778,-8,12,2019
2020-01-01,9,5,808,-136,1,2020
2020-02-01,10,-5,757,-78,2,2020
2020-03-01,33,18,552,-154,3,2020
2020-04-01,41,3,413,87,4,2020
2020-05-01,108,-14,188,9,5,2020
2020-06-01,246,26,26,-7,6,2020
2020-07-01,396,18,2,0,7,2020
2020-08-01,345,15,8,-2,8,2020
2020-09-01,179,-58,79,42,9,2020
2020-10-01,75,-4,294,-1,10,2020
2020-11-01,27,12,466,-178,11,2020
2020-12-01,5,-5,809,31,12,2020
2021-01-01,5,-4,876,68,1,2021
2021-02-01,10,0,892,162,2,2021
2021-03-01,21,-13,567,15,3,2021
2021-04-01,33,-7,353,-60,4,2021
2021-05-01,102,-7,180,-8,5,2021
2021-06-01,275,29,20,-6,6,2021
2021-07-01,341,-55,5,2,7,2021
2021-08-01,354,8,5,-2,8,2021
2021-09-01,189,11,42,-37,9,2021
2021-10-01,78,3,206,-89,10,2021
2021-11-01,12,-15,552,86,11,2021
2021-12-01,19,14,688,-121,12,2021
2022-01-01,5,1,1003,127,1,2022
2022-02-01,8,-2,796,-95,2,2022
2022-03-01,18,-2,595,28,3,2022
2022-04-01,44,10,399,46,4,2022
2022-05-01,140,39,141,-39,5,2022
2022-06-01,249,-26,28,8,6,2022
2022-07-01,373,31,3,-2,7,2022
2022-08-01,340,-14,4,-1,8,2022
2022-09-01,190,0,66,24,9,2022
2022-10-01,43,-35,299,94,10,2022
2022-11-01,20,8,588,36,11,2022
2022-12-01,10,-10,883,195,12,2022
2023-01-01,8,2,811,-192,1,2023
2023-02-01,13,5,717,-79,2,2023
2023-03-01,21,2,685,90,3,2023
2023-04-01,35,-8,357,-42,4,2023
2023-05-01,90,-50,163,21,5,2023
2023-06-01,189,-60,45,17,6,2023
